dataset,kmeans_log_wcss,kmeans_sil,dbscan_log_wcss,dbscan_sil
credit,21.29373771855262,0.3947452691547486,19.694406349679042,0.8946775356077181
kidney,19.112674342262668,0.5196381090992773,20.809338855078487,0.6898857952090267
energy,12.35779627443888,0.5359703549080891,7.944354743142838,0.9357236224248746
abalone,3.9015046011625336,0.35679531326664904,6.488050607698052,0.3362224788200952
statlog,18.415041993876496,0.5403876387958055,20.927193811482557,0.5551424001447035
student,9.321126598286465,0.07736597556956049,10.09947250903752,0.6561964200856446
wine,13.380606858519245,0.5656413100386375,15.896634326399761,0.5042062584401892
iris,3.695802410060908,0.3664105968914612,4.753984756494808,0.5379270934447976
breast_cancer,16.116496478720492,0.4233492848140493,18.575449895705216,0.6606950631766084
solar_flare,7.449551846860375,0.2812619059464353,0.0,0.12313679206311166
heart_disease,12.444679701712781,0.2352351394542715,13.662949541126718,0.5773211791040878
